district_code,no,pref_name,city_name,facility_name,facility_kana,facilty_en,address,facility_other_name,toilet_postion,lat,lng,count_male_total,count_male_urinal,count_male_jp_style,count_male_west_style,count_female_total,count_female_jp_style,count_female_west_style,count_all,count_jp_style_all,count_west_style_all,count_multifunctional,available_wheelchairl,available_baby,available_ostomate,available_from,available_to,available_time_info,image,image_licencce,remark
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ６,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ６,"","","","",34.7115706,135.5778197,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ７,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ７,"","","","",34.710765,135.5762405,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ８,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ８,"","","","",34.7092637,135.5786908,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ９,ハナハクキネンコウエンツルミリョクチ９,"","","","",34.7109341,135.5729917,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１０,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１０,"","","","",34.712926,135.5722856,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１１,ハナハクキネンコウエンツルミリョクチ１１,"","","","",34.7106956,135.5692679,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１２,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１２,"","","","",34.7126691,135.569619,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１３,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１３,"","","","",34.7163235,135.5690409,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１４,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１４,"","","","",34.7160104,135.5728772,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１５,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１５,"","","","",34.7150412,135.5744652,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１６,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１６,"","","","",34.7150553,135.5752905,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,花博記念公園鶴見緑地　公衆トイレ１７,ハナハクキネンコウエンツルミリョクチ　コウシュウトイレ１７,"","","","",34.7115322,135.563655,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,扇町公園　公衆トイレ１,オウギマチコウエン　コウシュウトイレ１,"","","","",34.7047368,135.5087725,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,鶴満寺公園　公衆トイレ,カクマンジコウエン　コウシュウトイレ,"","","","",34.7112121,135.5161607,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,天六,テンロク,"","","","",34.7105656,135.5114425,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　洋：１　和：１　小：２　　女性用　洋：１　和：１　　車椅子対応：１
271004,"",大阪府,大阪市,朝潮橋,アサシオバシ,"","","","",34.660045,135.4487048,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：３　　男女兼用　和：１
271004,"",大阪府,大阪市,大正橋,タイショウバシ,"","","","",34.6668023,135.4798591,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１
271004,"",大阪府,大阪市,鶴町北公園,ツルマチキタコウエン,"","","","",34.6438319,135.45428,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：１　　男女兼用　和：１
271004,"",大阪府,大阪市,生玉町,イクタマチョウ,"","","","",34.665891,135.5129934,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１
271004,"",大阪府,大阪市,五条公園,ゴジョウコウエン,"","","","",34.6578999,135.5240926,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１
271004,"",大阪府,大阪市,御霊神社横,ゴリョウジンジャヨコ,"","","","",34.6876051,135.4988968,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１
271004,"",大阪府,大阪市,空堀通,カラホリドオリ,"","","","",34.6738668,135.5137581,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：１
271004,"",大阪府,大阪市,九之助橋,クノスケバシ,"","","","",34.6735802,135.5111818,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１
271004,"",大阪府,大阪市,新世界,シンセカイ,"","","","",34.6525241,135.505961,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：２
271004,"",大阪府,大阪市,相合橋,アイアウバシ,"","","","",34.6691998,135.504371,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：１　　女性用　洋：１　　車椅子対応：１
271004,"",大阪府,大阪市,野里公園,ノザトコウエン,"","","","",34.7087649,135.4633418,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１
271004,"",大阪府,大阪市,大野川遊歩道,オオノガワユウホドウ,"","","","",34.7155231,135.460064,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　和：１　小：２　　女性用　和：２　　車椅子対応：１
271004,"",大阪府,大阪市,南中本公園,ミナミナカモトコウエン,"","","","",34.6742732,135.5421319,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１
271004,"",大阪府,大阪市,大今里公園,オオイマザトコウエン,"","","","",34.6686406,135.5486893,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　和：１　小：２　　女性用　和：１
271004,"",大阪府,大阪市,千林町,センバヤシチョウ,"","","","",34.7242708,135.55479,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：４　　男女兼用　和：２
271004,"",大阪府,大阪市,野江,ノエ,"","","","",34.7104246,135.5398903,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　和：１　小：２　　女性用　和：２
271004,"",大阪府,大阪市,山坂公園,ヤマサカコウエン,"","","","",34.6230148,135.5218921,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１
271004,"",大阪府,大阪市,平野公園,ヒラノコウエン,"","","","",34.6233224,135.5597797,"","","","","","","","","","","","","","","","","","","",便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１
271004,"",大阪府,大阪市,浦江公園　公衆トイレ,ウラエコウエン　コウシュウトイレ,"","","","",34.701422,135.4830263,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,豊崎西公園　公衆トイレ,トヨサキニシコウエン　コウシュウトイレ,"","","","",34.7113676,135.4981598,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,南天満公園　公衆トイレ１,ミナミテンマコウエン　コウシュウトイレ１,"","","","",34.6923217,135.5125798,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,本庄公園　公衆トイレ,ホンジョウコウエン　コウシュウトイレ,"","","","",34.7151465,135.5040449,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,滝川公園　公衆トイレ,タキガワコウエン　コウシュウトイレ,"","","","",34.6939329,135.5144278,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,与力町公園　公衆トイレ,ヨリキチョウコウエン　コウシュウトイレ,"","","","",34.7014135,135.5147721,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長柄東公園　公衆トイレ,ナガラヒガシコウエン　コウシュウトイレ,"","","","",34.7121621,135.5196196,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,内代公園　公衆トイレ,ウチンダイコウエン　コウシュウトイレ,"","","","",34.7133872,135.5365729,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,友渕中央公園　公衆トイレ,トモブチチュウオウコウエン　コウシュウトイレ,"","","","",34.7192379,135.5246787,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,都島中央公園　公衆トイレ,ミヤコジマチュウオウコウエン　コウシュウトイレ,"","","","",34.7069072,135.5226104,"","","","","","","","","","","","","","","","","","","",""
